,attr_2,attr_3,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,weekday,domain_@gmail.com,domain_@outlook.com,domain_@ymail.com,country_code_1,country_code_2,country_code_3,country_code_4,country_code_5,country_code_7
weekday,0.038507640235868675,-0.0053578401407468204,-0.050868818781850574,-0.0412127773112744,-0.018419746639106307,0.006893356451651801,0.05706896071160224,0.051999711323028004,0.04508168972361105,0.01212490939598527,0.008860185307282529,0.004249396608179665,0.011215271450684688,0.01827707414152595,0.01573337731509418,1.0,0.0022909018650507707,0.006115425213536637,0.013063509894522395,0.022658098563904633,-0.03782609043945176,0.0005954028887891393,0.026734893952754364,-0.10966401785061873,0.041462847221507323
domain_@gmail.com,0.027906160825591636,0.024387918337517366,0.05317406951435197,0.016360875880895288,0.009148206529359123,-0.004325429876420018,-0.08092742281799828,-0.08546882710077033,-0.08048335077792385,-0.035562554630151434,-0.03480189748419719,-0.0352971549605673,-0.02370591394965471,-0.02360960085004654,-0.028151551477438835,0.0022909018650507707,1.0,-0.13746937403836368,-0.11619975399109451,0.1254175221931368,-0.00041893626619585856,0.1337892153951207,-0.15876138577662144,-0.03392754371450566,-0.08024770311616072
domain_@outlook.com,0.005548664915435828,-0.01216476693642145,-0.004237884891693865,-0.0028925788996881385,-0.0018961695329841237,0.034188698353505534,0.03920298525145125,0.03876666271414617,0.03167511135018209,0.008605499441248258,0.010609120977609993,0.010823462847903323,-0.007408674913077234,-0.007228385259930202,-0.005100909201340872,0.006115425213536637,-0.13746937403836368,1.0,-0.003468436530296034,-0.024426524924551177,0.013724632567872803,-0.01398172245946199,0.02753370676636975,-0.018187609970664105,0.007404395206816582
domain_@ymail.com,0.004690161009767724,0.004741095034752032,0.0051843758710257305,-0.00857436712213174,-0.005710731187313633,-0.011717790380102606,-0.001997449407759908,-0.005890623237741474,-0.005045816952718812,0.011767035243392654,0.017954190206926506,0.019109727985483674,0.008957395872228989,0.009217895986675733,0.014642667591929096,0.013063509894522395,-0.11619975399109451,-0.003468436530296034,1.0,0.03055949487562472,-0.002001618950375514,-0.021590281204232342,-0.0208018045917073,-0.013513851911392986,0.009239687758355732
country_code_1,0.055238311848618084,0.04330966612975869,0.27535500754096764,0.00301366281048449,-0.08024902138559845,0.015233809527919903,-0.13701379485550175,-0.1574517401472427,-0.15848224801282723,0.11387311304264887,0.12432859550193502,0.12763346578044008,0.03341439480655933,0.04101731473685731,0.05061784944328348,0.022658098563904633,0.1254175221931368,-0.024426524924551177,0.03055949487562472,1.0,-0.34326383439397934,-0.31146185436593554,-0.25937138631802736,-0.20912417179532625,-0.13522140198647822
country_code_2,0.041465149400866645,-0.00832194365203931,-0.050229034666961415,-0.08430148996950294,-0.012442316605354288,0.01951990222718911,0.09456439899068335,0.13911620841853856,0.17517960214658493,-0.04196144187754725,-0.0457349854349709,-0.05055308830715292,-0.022849020870258717,-0.030214693399935072,-0.035713494874671806,-0.03782609043945176,-0.00041893626619585856,0.013724632567872803,-0.002001618950375514,-0.34326383439397934,1.0,-0.2345620817610032,-0.1953327236425903,-0.15749152069605432,-0.10183530696946462
country_code_3,0.031144213386710903,-0.024379136044187243,0.000713665966940629,0.11773992063240758,0.05432495460833714,0.0795407094290787,0.09567184718345412,0.0909289963970485,0.06636491532422466,-0.10313774015936224,-0.11347852045603359,-0.11731664085045526,-0.03644887763595723,-0.048771860183606235,-0.05759514768315712,0.0005954028887891393,0.1337892153951207,-0.01398172245946199,-0.021590281204232342,-0.31146185436593554,-0.2345620817610032,1.0,-0.17723595155767777,-0.14290058016048113,-0.09240068533487199
country_code_4,-0.20474156511661026,0.024546569285144107,-0.08056403251186108,0.000760887998874021,0.09088844620705877,-0.07951970625124118,-0.01815869152436292,-0.023221659409708727,-0.03534775301563213,0.042330192786904794,0.04921256235879439,0.05173295548199591,0.020362292655931345,0.030303068570981077,0.03106157433431194,0.026734893952754364,-0.15876138577662144,0.02753370676636975,-0.0208018045917073,-0.25937138631802736,-0.1953327236425903,-0.17723595155767777,1.0,-0.11900115876887846,-0.07694712375223993
country_code_5,0.026421887958640863,0.024799122672092458,-0.39477884103120214,-0.021629733529424208,-0.04932166404369242,-0.11798893927675584,-0.050212617723535934,-0.07249456971656282,-0.07999531303586561,0.03307337725165194,0.03596343521797564,0.04190158134857569,0.01142242868642831,0.01506986139538649,0.016577467560994447,-0.10966401785061873,-0.03392754371450566,-0.018187609970664105,-0.013513851911392986,-0.20912417179532625,-0.15749152069605432,-0.14290058016048113,-0.11900115876887846,1.0,-0.06204039603276366
country_code_7,0.013745770225790863,-0.0316570113992652,0.21091548093756665,0.019951780629423644,0.028626642047012447,0.048533997958516734,-0.041640513296551815,-0.03927593293877131,-0.04505226790467403,-0.05216782022391575,-0.057840866144669045,-0.05898483453541085,0.009953016840626954,0.013870319041976397,0.019261853257586222,0.041462847221507323,-0.08024770311616072,0.007404395206816582,0.009239687758355732,-0.13522140198647822,-0.10183530696946462,-0.09240068533487199,-0.07694712375223993,-0.06204039603276366,1.0
